Time (Milliseconds),Input (18 C),Temp C
397788,16.41,-2.15
397839,16.41,-2.15
397890,16.41,-2.64
397941,16.41,-2.15
397992,16.41,-2.15
398044,16.41,-2.15
398095,16.41,-2.64
398146,16.41,-2.15
398197,16.41,-3.12
398248,16.41,-2.15
398299,16.41,-2.64
398350,16.41,-1.66
398401,16.41,-2.15
398452,16.41,-2.15
398503,16.41,-2.15
398555,16.41,-2.15
398606,16.41,-2.15
398657,16.41,-2.64
398708,16.41,-2.15
398759,16.41,-2.15
398811,16.41,-2.15
398861,16.41,-2.15
398912,16.41,-2.15
398963,16.41,-2.15
399014,16.41,-2.64
399066,16.41,-2.15
399117,16.41,-1.66
399168,16.41,-2.15
399219,16.41,-2.64
399270,16.41,-2.64
399322,16.41,-2.15
399373,16.41,-2.64
399423,16.41,-1.66
399474,16.41,-2.64
399525,16.41,-1.66
399577,16.41,-1.66
399628,16.41,-2.64
399679,16.41,-2.15
399730,16.41,-2.15
399781,16.41,-2.15
399833,16.41,-2.15
399884,16.41,-1.66
399935,16.41,-2.15
399985,16.41,-1.66
400036,16.41,-2.64
400088,16.41,-2.15
400139,16.41,-1.66
400190,16.41,-2.15
400241,16.41,-2.15
400292,16.41,-2.15
400344,16.41,-2.15
400395,16.41,-2.15
400446,16.41,-2.15
400497,16.41,-2.64
400547,16.41,-2.15
400599,16.41,-2.15
400650,16.41,-2.15
400701,16.41,-2.15
400752,16.41,-2.15
400803,16.41,-2.64
400855,16.41,-2.15
400906,16.41,-2.64
400957,16.41,-2.15
401008,16.41,-2.15
401059,16.41,-2.15
401110,16.41,-2.15
401161,16.41,-2.64
401212,16.41,-1.66
401263,16.41,-2.64
401314,16.41,-2.64
401366,16.41,-2.15
401417,16.41,-2.15
401468,16.41,-2.15
401519,16.41,-3.12
401570,16.41,-2.15
401622,16.41,-2.15
401672,16.41,-2.15
401723,16.41,-2.64
401774,16.41,-2.15
401825,16.41,-2.64
401876,16.41,-1.66
401928,16.41,-2.15
401979,16.41,-1.66
402030,16.41,-2.15
402081,16.41,-2.15
402132,16.41,-2.15
402184,16.41,-2.15
402234,16.41,-2.15
402285,16.41,-2.15
402336,16.41,-2.15
402387,16.41,-2.64
402439,16.41,-2.64
402490,16.41,-1.66
402541,16.41,-2.15
402592,16.41,-2.15
402643,16.41,-2.15
402695,16.41,-2.15
402746,16.41,-2.15
402796,16.41,-2.15
402847,16.41,-2.15
402898,16.41,-2.15
402950,16.41,-2.15
403001,16.41,-2.15
403052,16.41,-2.64
403103,16.41,-2.15
403154,16.41,-2.64
403206,16.41,-1.66
403257,16.41,-2.15
403308,16.41,-2.15
403358,16.41,-2.64
403409,16.41,-2.64
403461,16.41,-2.64
403512,16.41,-1.66
403563,16.41,-2.64
403614,16.41,-2.64
403665,16.41,-2.64
403717,16.41,-2.15
403768,16.41,-1.66
403819,16.41,-2.64
403870,16.41,-2.64
403920,16.41,-2.64
403972,16.41,-2.15
404023,16.41,-2.64
404074,16.41,-2.15
404125,16.41,-2.15
404176,16.41,-2.15
404228,16.41,-2.15
404279,16.41,-1.66
404330,16.41,-1.66
404381,16.41,-2.15
404432,16.41,-2.64
404483,16.41,-2.15
404534,16.41,-2.15
404585,16.41,-1.66
404636,16.41,-2.15
404687,16.41,-2.15
404739,16.41,-1.66
404790,16.41,-2.15
404841,16.41,-1.66
404892,16.41,-1.66
404943,16.41,-1.66
404995,16.41,-2.15
405045,16.41,-1.66
405096,16.41,-2.15
405147,16.41,-2.64
405198,16.41,-2.15
405250,16.41,-2.15
405301,16.41,-2.15
405352,16.41,-1.66
405403,16.41,-2.15
405454,16.41,-1.66
405506,16.41,-1.66
405557,16.41,-2.15
405607,16.41,-1.66
405658,16.41,-1.66
405709,16.41,-1.66
405761,16.41,-2.15
405812,16.41,-2.64
405863,16.41,-2.15
405914,16.41,-2.64
405965,16.41,-2.15
406017,16.41,-2.15
406068,16.41,-2.15
406119,16.41,-2.15
406169,16.41,-2.64
406220,16.41,-2.15
406272,16.41,-2.64
406323,16.41,-2.64
406374,16.41,-2.64
406425,16.41,-2.15
406476,16.41,-2.15
406528,16.41,-2.64
406579,16.41,-2.15
406630,16.41,-2.15
406681,16.41,-1.66
406731,16.41,-2.64
406782,16.41,-1.66
406834,16.41,-2.15
406885,16.41,-2.15
406936,16.41,-2.15
406987,16.41,-2.64
407038,16.41,-2.15
407090,16.41,-2.64
407141,16.41,-2.64
407192,16.41,-2.64
407243,16.41,-2.15
407293,16.41,-1.17
407345,16.41,-2.64
407396,16.41,-2.15
407447,16.41,-2.15
407498,16.41,-2.64
407549,16.41,-1.66
407601,16.41,-2.15
407652,16.41,-2.64
407703,16.41,-2.64
407754,16.41,-1.66
407805,16.41,-2.15
407856,16.41,-2.15
407907,16.41,-2.64
407958,16.41,-1.66
408009,16.41,-2.64
408060,16.41,-2.15
408112,16.41,-1.66
408163,16.41,-2.15
408214,16.41,-1.66
408265,16.41,-2.15
408316,16.41,-2.15
408368,16.41,-2.15
408418,16.41,-1.66
408469,16.41,-2.15
408520,16.41,-1.66
408571,16.41,-1.66
408623,16.41,-2.64
408674,16.41,-1.66
408725,16.41,-1.66
408776,16.41,-2.15
408827,16.41,-2.15
408879,16.41,-2.15
408930,16.41,-1.66
408980,16.41,-2.15
409031,16.41,-2.15
409082,16.41,-1.66
409134,16.41,-1.17
409185,16.41,-1.66
409236,16.41,-1.66
409287,16.41,-1.66
409338,16.41,-1.66
409390,16.41,-1.17
409441,16.41,-1.66
409492,16.41,-1.66
409542,16.41,-1.66
409593,16.41,-1.66
409645,16.41,-1.66
409696,16.41,-1.66
409747,16.41,-1.66
409798,16.41,-1.17
409849,16.41,-2.64
409901,16.41,-2.15
409952,16.41,-1.66
410003,16.41,-1.66
410054,16.41,-1.66
410104,16.41,-1.17
410156,16.41,-1.66
410207,16.41,-1.17
410258,16.41,-1.66
